Feature,Coefficient
typhoon_impact,1.471275883984254
beach_open,0.6481182343528638
total_pop,0.36443151918299854
gender_ratio,0.2547078286556297
oldery_ratio,0.0660478345466156
temp_axis,0.03418142028875595
humid_axis,0.009242448239533208
wind_axis,0.0025511434596090284
is_dayoff,-0.13664502193253855
