Feature,Importance
총인구,0.24642797450589765
real_ta,0.16711202254784874
ws_max,0.14566926801107205
sub_address_연산동,0.08020837421476715
ws_ins_max,0.06085115642575084
rn_day,0.04523831116484257
총인구남자,0.04224816529257812
cluster_3,0.0397742427547329
ta_max,0.03903732366258813
sub_address_부전동,0.01929964733392131
65세이상총합,0.01570973719066746
hm_max,0.01169175948847042
65세이상여자,0.010736718772032049
ta_max_min,0.007831024990162225
distancing_strength,0.007807125934236871
typhoon_impact,0.006753130038854811
hm_min,0.006244927480061836
sub_address_우동,0.006136281072464749
총인구여자,0.005516725390189527
ta_min,0.004410216965000564
