max_depth,learning_rate,n_estimators,rmse,mae,r2
4,0.07,1000,1.212558715842443,0.670809618209295,0.5282554632826237
6,0.07,500,1.2129928401009409,0.6687945370350608,0.5279176117537037
4,0.07,700,1.2133282373289125,0.6717292406855919,0.5276565104358806
6,0.07,700,1.2134891453195653,0.669439434057578,0.5275312205445433
4,0.03,1000,1.2145314091256736,0.6731224050205017,0.5267192667055676
6,0.03,1000,1.2147051966428004,0.6658593336405236,0.5265838133652438
4,0.05,1000,1.2149240952016542,0.6702255009731242,0.5264131720298432
4,0.03,700,1.215373274585935,0.6770827908799615,0.5260629200843097
4,0.07,500,1.21542311233736,0.6734764922245423,0.5260240506387566
6,0.05,500,1.215431261951574,0.6667035832200088,0.5260176944422277
6,0.03,700,1.2160638916419844,0.6673379365675735,0.5255241522310482
4,0.05,700,1.216253640234264,0.6723573157510431,0.5253760709520805
6,0.03,500,1.217228373930343,0.6697799463040661,0.524615017002072
6,0.05,700,1.2173124438680343,0.6669169772026151,0.5245493481975956
4,0.03,500,1.2175932605174333,0.6814438193207388,0.5243299635037011
6,0.07,1000,1.2178223044647747,0.672104992750186,0.5241509881534494
6,0.05,1000,1.2188360943366332,0.666845855606907,0.5233584066722803
4,0.05,500,1.2200171629820904,0.6758777096978704,0.522434214822414
8,0.05,500,1.222641296010902,0.6680582045222428,0.5203776144118442
8,0.05,700,1.2268605930529055,0.6704762679374644,0.5170615786631788
8,0.03,500,1.2302890927881345,0.6670329725623343,0.5143586346005657
8,0.05,1000,1.2318856064426549,0.6738829806715627,0.5130974088606481
8,0.03,700,1.232443231845188,0.6668567330548277,0.5126565063894212
8,0.07,500,1.2342032279797293,0.672960618727466,0.5112636063675191
8,0.03,1000,1.2346834826839792,0.6682286897605987,0.5108831769313782
8,0.07,700,1.239068460348753,0.6763424775611848,0.5074028114078061
8,0.07,1000,1.246073015568121,0.6809273945181488,0.5018176850260496
