idx,시점,지역동,65세이상총합,65세이상남자,65세이상여자,총인구,총인구남자,총인구여자
0,2020-05-01,가야동,7824,3464,4360,37162,18382,18780
1,2020-05-01,감만동,5313,2319,2994,21623,10936,10687
2,2020-05-01,감전동,2932,1328,1604,14051,7449,6602
3,2020-05-01,감천동,6568,2827,3741,26635,13326,13309
4,2020-05-01,강동동,1474,679,795,4594,2453,2141
5,2020-05-01,개금동,10235,4463,5772,59050,28582,30468
6,2020-05-01,거제동,11600,5038,6562,64431,31099,33332
7,2020-05-01,광복동,84,38,45,270,137,133
8,2020-05-01,광안동,13011,5512,7499,66499,30948,35551
9,2020-05-01,괘법동,3375,1627,1748,21856,11310,10546
10,2020-05-01,괴정동,13685,5949,7736,59949,29125,30824
11,2020-05-01,구랑동,18,8,10,176,94,81
12,2020-05-01,구서동,9215,4029,5186,53680,25656,28024
13,2020-05-01,구평동,1546,724,822,11770,5998,5772
14,2020-05-01,구포동,10726,4921,5805,62329,31943,30386
15,2020-05-01,금곡동,8119,3313,4806,39713,19280,20433
16,2020-05-01,금사동,1593,752,841,5986,3151,2835
17,2020-05-01,금성동,268,117,151,1102,538,564
18,2020-05-01,기장읍,10792,4431,6361,53945,26301,27644
19,2020-05-01,낙민동,3561,1568,1993,20261,9931,10331
20,2020-05-01,남부민동,4675,2000,2675,14874,7478,7396
21,2020-05-01,남산동,6176,2679,3497,30126,14754,15372
22,2020-05-01,남천동,5239,2230,3009,26563,12300,14263
23,2020-05-01,남포동,325,152,173,1042,575,467
24,2020-05-01,남항동,1060,441,620,3607,1796,1811
25,2020-05-01,노포동,212,98,113,821,404,417
26,2020-05-01,녹산동,139,63,75,1321,709,614
27,2020-05-01,눌차동,165,76,89,550,290,260
28,2020-05-01,다대동,11605,5046,6559,69337,34498,34839
29,2020-05-01,당감동,9247,3871,5376,46815,22594,24221
30,2020-05-01,당리동,5120,2392,2728,27907,13723,14184
31,2020-05-01,대교동,1060,441,619,3606,1796,1810
32,2020-05-01,대연동,15788,6927,8861,95320,46431,48889
33,2020-05-01,대저1동,2187,1074,1113,6845,3793,3052
34,2020-05-01,대저2동,1645,769,876,7276,4041,3235
35,2020-05-01,대창동,85,39,46,271,138,134
36,2020-05-01,대청동,1630,655,975,6590,3119,3471
37,2020-05-01,대평동,1060,440,619,3606,1796,1810
38,2020-05-01,대항동,132,61,71,440,232,208
39,2020-05-01,덕천동,8397,3510,4887,37127,18322,18805
40,2020-05-01,덕포동,4081,1855,2226,22599,11515,11084
41,2020-05-01,동광동,956,435,521,2973,1487,1486
42,2020-05-01,동대신동,5188,2177,3011,19770,9439,10331
43,2020-05-01,동삼동,10637,4583,6054,43573,21386,22187
44,2020-05-01,동선동,299,139,161,992,522,470
45,2020-05-01,두구동,597,276,321,1909,1013,896
46,2020-05-01,만덕동,10025,4618,5407,59789,29328,30461
47,2020-05-01,망미동,9071,3990,5081,40043,19364,20679
48,2020-05-01,명륜동,3264,1409,1855,24873,12124,12749
49,2020-05-01,명장동,6113,2803,3310,30098,14699,15399
50,2020-05-01,명지동,5120,2446,2674,74197,37052,37145
51,2020-05-01,모라동,8798,3625,5173,39949,19811,20138
52,2020-05-01,문현동,10437,4410,6027,47658,23352,24306
53,2020-05-01,미음동,37,17,20,352,188,163
54,2020-05-01,민락동,5263,2338,2925,28623,13801,14822
55,2020-05-01,반송동,11091,4505,6587,39477,19472,20006
56,2020-05-01,반여동,13006,5631,7375,75108,37027,38081
57,2020-05-01,범방동,83,38,45,793,425,367
58,2020-05-01,범일동,6308,2705,3603,25855,12839,13016
59,2020-05-01,범전동,1485,657,828,7785,3901,3884
60,2020-05-01,범천동,6622,2811,3811,31814,15377,16437
61,2020-05-01,보수동,2692,1145,1547,10747,5260,5487
62,2020-05-01,복천동,1777,750,1027,6289,3069,3221
63,2020-05-01,봉래동,3809,1593,2216,12745,6302,6443
64,2020-05-01,봉림동,406,192,215,1119,593,526
65,2020-05-01,부곡동,11821,5044,6778,56048,26968,29081
66,2020-05-01,부민동,900,388,513,4844,2312,2532
67,2020-05-01,부암동,7201,3141,4060,40917,20091,20826
68,2020-05-01,부용동,581,250,330,3128,1493,1635
69,2020-05-01,부전동,2820,1256,1564,17964,8964,9000
70,2020-05-01,부평동,1399,581,818,4711,2233,2478
71,2020-05-01,사직동,8524,3705,4819,57310,27956,29354
72,2020-05-01,삼락동,1434,649,785,6147,3289,2858
73,2020-05-01,생곡동,74,34,40,704,377,326
74,2020-05-01,서대신동,5740,2404,3336,29064,13757,15307
75,2020-05-01,서동,7402,3262,4140,28210,14167,14043
76,2020-05-01,석대동,42,17,24,146,73,72
77,2020-05-01,선동,152,70,82,488,259,229
78,2020-05-01,성북동,266,124,143,882,464,418
79,2020-05-01,송정동_강서구,279,127,150,2644,1418,1227
80,2020-05-01,송정동_해운대구,2284,936,1348,10111,4886,5225
81,2020-05-01,수안동,2246,989,1257,12780,6264,6515
82,2020-05-01,수영동,4156,1810,2346,15158,7259,7899
83,2020-05-01,수정동,7018,2862,4156,24450,11839,12611
84,2020-05-01,식만동,169,79,89,466,247,219
85,2020-05-01,신선동,3196,1304,1892,9411,4713,4698
86,2020-05-01,신창동,85,39,46,271,138,133
87,2020-05-01,신평동,5840,2654,3186,34299,17402,16897
88,2020-05-01,신호동,1393,639,755,13218,7087,6131
89,2020-05-01,아미동,2469,1062,1407,7301,3709,3592
90,2020-05-01,안락동,8206,3692,4514,43468,21323,22145
91,2020-05-01,암남동,3186,1366,1820,13946,6877,7069
92,2020-05-01,양정동,6071,2555,3516,33657,15821,17836
93,2020-05-01,엄궁동,3498,1613,1885,28649,14368,14281
94,2020-05-01,연산동,27648,12277,15371,145442,70159,75283
95,2020-05-01,연지동,4301,1814,2487,20407,9674,10733
96,2020-05-01,영선동,3704,1577,2127,13216,6424,6792
97,2020-05-01,영주동,3213,1365,1848,12347,6102,6245
98,2020-05-01,오륜동,34,14,19,200,95,104
99,2020-05-01,온천동,13683,6089,7594,73225,35439,37786
100,2020-05-01,용당동,1597,708,889,8117,4138,3979
101,2020-05-01,용호동,16062,7065,8997,84776,41069,43707
102,2020-05-01,우동,13478,5994,7484,83171,39585,43586
103,2020-05-01,우암동,3627,1583,2044,13689,6798,6891
104,2020-05-01,일광읍,2861,1237,1624,16106,8118,7988
105,2020-05-01,장림동,6102,2788,3314,39763,20330,19433
106,2020-05-01,장안읍,2240,980,1260,8746,4678,4068
107,2020-05-01,장전동,7222,3022,4200,45994,22700,23294
108,2020-05-01,재송동,9108,4103,5005,64599,31609,32990
109,2020-05-01,전포동,7656,3265,4391,39709,18773,20936
110,2020-05-01,정관읍,8119,3514,4605,82207,40575,41632
111,2020-05-01,좌동,12789,5289,7500,91518,42944,48574
112,2020-05-01,좌천동,3063,1258,1805,11252,5456,5796
113,2020-05-01,주례동,8668,4007,4661,53133,26685,26448
114,2020-05-01,죽동동,168,79,89,466,247,219
115,2020-05-01,죽림동,169,80,89,466,247,219
116,2020-05-01,중동,6494,2821,3673,40329,19347,20982
117,2020-05-01,중앙동,480,237,243,2249,1131,1118
118,2020-05-01,지사동,1031,473,559,9781,5245,4537
119,2020-05-01,창선동,84,39,46,271,137,133
120,2020-05-01,천성동,200,92,106,662,348,314
121,2020-05-01,철마면,2367,1100,1267,8138,4093,4045
122,2020-05-01,청룡동,2412,1125,1288,9350,4599,4751
123,2020-05-01,청학동,6283,2705,3578,25624,12654,12970
124,2020-05-01,초량동,6526,2717,3809,28153,13873,14280
125,2020-05-01,초읍동,5620,2456,3164,21910,10644,11266
126,2020-05-01,초장동,1604,659,945,4790,2384,2406
127,2020-05-01,충무동,590,244,345,2537,1217,1320
128,2020-05-01,칠산동,1194,504,690,4228,2062,2165
129,2020-05-01,토성동,1772,735,1038,7614,3653,3961
130,2020-05-01,하단동,7342,3264,4078,48087,24045,24042
131,2020-05-01,학장동,4930,2223,2707,29699,14852,14847
132,2020-05-01,화명동,10383,4676,5707,90028,44169,45859
133,2020-05-01,화전동,381,175,207,3613,1937,1676
134,2020-05-01,회동동,713,337,376,2682,1412,1270
135,2020-06-01,가야동,7870,3486,4384,37104,18331,18773
136,2020-06-01,감만동,5315,2323,2992,21535,10894,10641
137,2020-06-01,감전동,2937,1330,1607,14026,7435,6591
138,2020-06-01,감천동,6603,2843,3760,26555,13287,13268
139,2020-06-01,강동동,1473,680,793,4577,2440,2137
140,2020-06-01,개금동,10287,4475,5812,58943,28507,30436
141,2020-06-01,거제동,11622,5045,6577,64303,31029,33274
142,2020-06-01,광복동,84,38,46,270,136,134
143,2020-06-01,광안동,12994,5499,7495,66559,30963,35596
144,2020-06-01,괘법동,3392,1632,1760,21845,11286,10559
145,2020-06-01,괴정동,13727,5962,7765,59807,29047,30760
146,2020-06-01,구랑동,18,8,10,176,94,82
147,2020-06-01,구서동,9267,4051,5216,53675,25644,28031
148,2020-06-01,구평동,1557,731,826,11782,6013,5769
149,2020-06-01,구포동,10734,4922,5812,62186,31858,30328
150,2020-06-01,금곡동,8159,3338,4821,39609,19220,20389
151,2020-06-01,금사동,1603,758,846,5961,3144,2818
152,2020-06-01,금성동,268,117,151,1098,537,561
153,2020-06-01,기장읍,10827,4442,6385,53798,26223,27575
154,2020-06-01,낙민동,3580,1578,2003,20259,9917,10343
155,2020-06-01,남부민동,4694,2008,2686,14925,7499,7426
156,2020-06-01,남산동,6205,2700,3505,30097,14742,15355
157,2020-06-01,남천동,5265,2242,3023,26563,12283,14280
158,2020-06-01,남포동,324,151,173,1049,580,469
159,2020-06-01,남항동,1064,442,622,3614,1800,1814
160,2020-06-01,노포동,212,98,113,819,402,416
161,2020-06-01,녹산동,139,64,75,1328,711,616
162,2020-06-01,눌차동,165,76,89,554,292,261
163,2020-06-01,다대동,11646,5070,6576,69213,34449,34764
164,2020-06-01,당감동,9264,3881,5383,46711,22514,24197
165,2020-06-01,당리동,5140,2398,2742,27822,13675,14147
166,2020-06-01,대교동,1064,442,622,3614,1800,1814
167,2020-06-01,대연동,15801,6925,8876,95252,46432,48820
168,2020-06-01,대저1동,2190,1080,1110,6842,3788,3054
169,2020-06-01,대저2동,1646,771,875,7262,4023,3239
170,2020-06-01,대창동,84,38,46,271,136,135
171,2020-06-01,대청동,1629,656,973,6548,3113,3435
172,2020-06-01,대평동,1063,442,621,3613,1799,1814
173,2020-06-01,대항동,132,61,71,443,233,209
174,2020-06-01,덕천동,8419,3522,4897,36944,18232,18712
175,2020-06-01,덕포동,4098,1861,2237,22534,11480,11054
176,2020-06-01,동광동,958,436,522,2953,1472,1481
177,2020-06-01,동대신동,5205,2184,3021,19972,9534,10438
178,2020-06-01,동삼동,10685,4612,6073,43444,21320,22124
179,2020-06-01,동선동,299,139,161,998,527,472
180,2020-06-01,두구동,600,277,324,1892,1004,889
181,2020-06-01,만덕동,10094,4638,5456,59780,29335,30445
182,2020-06-01,망미동,9116,4019,5097,39947,19321,20626
183,2020-06-01,명륜동,3283,1413,1870,24866,12113,12753
184,2020-06-01,명장동,6138,2815,3323,30007,14657,15350
185,2020-06-01,명지동,5136,2458,2678,74309,37122,37187
186,2020-06-01,모라동,8820,3639,5181,39852,19775,20077
187,2020-06-01,문현동,10409,4390,6019,47452,23238,24214
188,2020-06-01,미음동,37,17,20,353,189,164
189,2020-06-01,민락동,5307,2352,2955,28777,13878,14899
190,2020-06-01,반송동,11131,4523,6609,39373,19401,19973
191,2020-06-01,반여동,13031,5641,7390,74985,36954,38031
192,2020-06-01,범방동,83,38,45,796,426,369
193,2020-06-01,범일동,6339,2714,3625,25788,12790,12998
194,2020-06-01,범전동,1487,657,829,7797,3910,3887
195,2020-06-01,범천동,6641,2823,3818,32085,15525,16560
196,2020-06-01,보수동,2700,1151,1549,10695,5225,5470
197,2020-06-01,복천동,1787,752,1035,6297,3071,3227
198,2020-06-01,봉래동,3823,1601,2222,12714,6275,6439
199,2020-06-01,봉림동,408,192,217,1115,593,522
200,2020-06-01,부곡동,11846,5050,6796,55788,26823,28966
201,2020-06-01,부민동,902,386,516,4846,2309,2538
202,2020-06-01,부암동,7195,3132,4063,40745,19997,20748
203,2020-06-01,부용동,581,249,332,3129,1490,1638
204,2020-06-01,부전동,2830,1262,1569,17943,8960,8983
205,2020-06-01,부평동,1409,587,822,4718,2233,2485
206,2020-06-01,사직동,8580,3734,4846,57386,27978,29408
207,2020-06-01,삼락동,1437,652,785,6145,3297,2848
208,2020-06-01,생곡동,74,34,40,707,379,328
209,2020-06-01,서대신동,5743,2399,3344,29012,13734,15278
210,2020-06-01,서동,7372,3239,4133,28083,14104,13979
211,2020-06-01,석대동,42,17,24,146,73,72
212,2020-06-01,선동,153,70,82,484,256,227
213,2020-06-01,성북동,266,124,143,887,468,420
214,2020-06-01,송정동_강서구,279,128,150,2655,1423,1233
215,2020-06-01,송정동_해운대구,2295,939,1356,10079,4870,5209
216,2020-06-01,수안동,2257,994,1262,12778,6254,6523
217,2020-06-01,수영동,4160,1806,2354,15129,7243,7886
218,2020-06-01,수정동,7037,2873,4164,24388,11815,12573
219,2020-06-01,식만동,170,79,90,464,247,217
220,2020-06-01,신선동,3186,1295,1891,9365,4685,4680
221,2020-06-01,신창동,84,38,46,270,136,134
222,2020-06-01,신평동,5878,2674,3204,34300,17405,16895
223,2020-06-01,신호동,1395,641,755,13271,7111,6161
224,2020-06-01,아미동,2461,1053,1408,7249,3674,3575
225,2020-06-01,안락동,8235,3704,4531,43382,21257,22125
226,2020-06-01,암남동,3191,1367,1824,13897,6866,7031
227,2020-06-01,양정동,6078,2559,3519,33630,15797,17833
228,2020-06-01,엄궁동,3520,1623,1897,28609,14351,14258
229,2020-06-01,연산동,27735,12304,15431,145211,70037,75174
230,2020-06-01,연지동,4326,1825,2501,20431,9687,10744
231,2020-06-01,영선동,3716,1584,2132,13198,6405,6793
232,2020-06-01,영주동,3221,1367,1854,12314,6096,6218
233,2020-06-01,오륜동,33,14,19,197,94,102
234,2020-06-01,온천동,13714,6093,7621,73267,35448,37819
235,2020-06-01,용당동,1595,706,889,8076,4113,3963
236,2020-06-01,용호동,16149,7110,9039,84635,40987,43648
237,2020-06-01,우동,13516,6012,7504,83058,39528,43530
238,2020-06-01,우암동,3638,1579,2059,13656,6772,6884
239,2020-06-01,일광읍,2938,1279,1659,17245,8665,8580
240,2020-06-01,장림동,6113,2803,3310,39770,20345,19425
241,2020-06-01,장안읍,2253,984,1269,8749,4669,4080
242,2020-06-01,장전동,7206,3026,4180,45925,22688,23237
243,2020-06-01,재송동,9154,4113,5041,64514,31568,32946
244,2020-06-01,전포동,7669,3275,4394,39640,18750,20890
245,2020-06-01,정관읍,8161,3532,4629,82192,40561,41631
246,2020-06-01,좌동,12827,5305,7522,91390,42896,48494
247,2020-06-01,좌천동,3076,1268,1808,11229,5453,5776
248,2020-06-01,주례동,8675,4019,4656,53124,26698,26426
249,2020-06-01,죽동동,169,79,90,464,246,217
250,2020-06-01,죽림동,170,80,90,464,247,218
251,2020-06-01,중동,6521,2830,3691,40378,19348,21030
252,2020-06-01,중앙동,475,233,242,2294,1148,1146
253,2020-06-01,지사동,1033,475,559,9821,5262,4559
254,2020-06-01,창선동,84,38,46,270,136,134
255,2020-06-01,천성동,200,92,106,665,351,314
256,2020-06-01,철마면,2378,1105,1273,8155,4102,4053
257,2020-06-01,청룡동,2412,1118,1295,9319,4582,4738
258,2020-06-01,청학동,6296,2713,3583,25558,12616,12942
259,2020-06-01,초량동,6551,2727,3824,28293,13945,14348
260,2020-06-01,초읍동,5662,2466,3196,22213,10779,11434
261,2020-06-01,초장동,1599,657,942,4771,2377,2394
262,2020-06-01,충무동,591,245,346,2536,1214,1322
263,2020-06-01,칠산동,1200,505,695,4234,2064,2169
264,2020-06-01,토성동,1776,735,1041,7610,3644,3966
265,2020-06-01,하단동,7376,3268,4108,48009,24001,24008
266,2020-06-01,학장동,4946,2230,2716,29574,14786,14788
267,2020-06-01,화명동,10399,4681,5718,89857,44080,45777
268,2020-06-01,화전동,382,175,206,3628,1944,1684
269,2020-06-01,회동동,718,339,378,2671,1408,1262
270,2020-07-01,가야동,7886,3493,4393,37224,18375,18849
271,2020-07-01,감만동,5339,2332,3007,21494,10860,10634
272,2020-07-01,감전동,2942,1329,1613,13999,7430,6569
273,2020-07-01,감천동,6604,2843,3761,26420,13212,13208
274,2020-07-01,강동동,1475,683,792,4573,2435,2138
275,2020-07-01,개금동,10335,4497,5838,58804,28427,30377
276,2020-07-01,거제동,11658,5064,6594,64169,30963,33206
277,2020-07-01,광복동,84,38,46,267,135,132
278,2020-07-01,광안동,13006,5499,7507,66503,30928,35575
279,2020-07-01,괘법동,3406,1638,1768,21926,11323,10603
280,2020-07-01,괴정동,13783,5987,7796,59673,28957,30716
281,2020-07-01,구랑동,18,8,10,177,95,82
282,2020-07-01,구서동,9325,4071,5254,53619,25620,27999
283,2020-07-01,구평동,1569,737,832,11774,6000,5774
284,2020-07-01,구포동,10808,4955,5853,62096,31838,30258
285,2020-07-01,금곡동,8197,3345,4852,39507,19158,20349
286,2020-07-01,금사동,1568,739,830,5760,3039,2721
287,2020-07-01,금성동,270,118,152,1097,536,561
288,2020-07-01,기장읍,10844,4456,6388,53379,26018,27361
289,2020-07-01,낙민동,3594,1585,2009,20228,9896,10333
290,2020-07-01,남부민동,4702,2014,2688,14928,7499,7429
291,2020-07-01,남산동,6245,2711,3534,30064,14706,15358
292,2020-07-01,남천동,5268,2249,3019,26469,12253,14216
293,2020-07-01,남포동,324,152,172,1045,581,464
294,2020-07-01,남항동,1070,446,624,3610,1802,1809
295,2020-07-01,노포동,213,98,115,820,402,417
296,2020-07-01,녹산동,141,65,76,1333,715,619
297,2020-07-01,눌차동,166,77,89,559,295,264
298,2020-07-01,다대동,11694,5088,6606,69012,34343,34669
299,2020-07-01,당감동,9277,3886,5391,46571,22461,24110
300,2020-07-01,당리동,5171,2410,2761,27805,13659,14146
301,2020-07-01,대교동,1070,446,624,3610,1802,1808
302,2020-07-01,대연동,15848,6942,8906,95015,46344,48671
303,2020-07-01,대저1동,2192,1083,1109,6842,3786,3056
304,2020-07-01,대저2동,1653,781,872,7242,4016,3226
305,2020-07-01,대창동,85,39,46,268,136,133
306,2020-07-01,대청동,1633,655,978,6560,3111,3449
307,2020-07-01,대평동,1070,446,624,3610,1801,1808
308,2020-07-01,대항동,133,61,71,447,236,211
309,2020-07-01,덕천동,8413,3520,4893,36716,18116,18600
310,2020-07-01,덕포동,4098,1862,2236,22412,11417,10995
311,2020-07-01,동광동,957,435,522,2946,1465,1481
312,2020-07-01,동대신동,5225,2191,3034,20098,9592,10506
313,2020-07-01,동삼동,10730,4625,6105,43346,21258,22088
314,2020-07-01,동선동,300,139,161,1008,532,476
315,2020-07-01,두구동,597,277,321,1896,1005,891
316,2020-07-01,만덕동,10145,4658,5487,59740,29310,30430
317,2020-07-01,망미동,9152,4037,5115,39836,19272,20564
318,2020-07-01,명륜동,3292,1411,1881,24849,12115,12734
319,2020-07-01,명장동,6172,2831,3341,29980,14642,15338
320,2020-07-01,명지동,5155,2466,2689,74358,37123,37235
321,2020-07-01,모라동,8846,3650,5196,39755,19715,20040
322,2020-07-01,문현동,10404,4392,6012,47391,23211,24180
323,2020-07-01,미음동,37,17,20,355,190,164
324,2020-07-01,민락동,5329,2359,2970,28794,13875,14919
325,2020-07-01,반송동,11173,4535,6638,39270,19333,19937
326,2020-07-01,반여동,13134,5700,7434,75059,37015,38044
327,2020-07-01,범방동,84,39,45,800,428,370
328,2020-07-01,범일동,6370,2729,3641,25728,12757,12971
329,2020-07-01,범전동,1477,654,823,7795,3912,3883
330,2020-07-01,범천동,6683,2850,3833,32433,15685,16748
331,2020-07-01,보수동,2709,1152,1557,10672,5210,5462
332,2020-07-01,복천동,1785,749,1036,6269,3055,3214
333,2020-07-01,봉래동,3844,1608,2236,12729,6279,6450
334,2020-07-01,봉림동,408,191,217,1113,590,523
335,2020-07-01,부곡동,11883,5066,6817,55581,26699,28883
336,2020-07-01,부민동,903,388,516,4841,2306,2535
337,2020-07-01,부암동,7199,3139,4060,40713,19967,20746
338,2020-07-01,부용동,583,249,333,3125,1488,1637
339,2020-07-01,부전동,2825,1256,1569,17945,8970,8975
340,2020-07-01,부평동,1419,592,827,4725,2234,2491
341,2020-07-01,사직동,8612,3739,4873,57229,27900,29329
342,2020-07-01,삼락동,1450,658,792,6164,3316,2848
343,2020-07-01,생곡동,75,35,40,710,381,329
344,2020-07-01,서대신동,5776,2416,3360,28968,13706,15262
345,2020-07-01,서동,7371,3233,4138,27969,14064,13905
346,2020-07-01,석대동,42,17,25,145,73,72
347,2020-07-01,선동,152,70,81,485,257,228
348,2020-07-01,성북동,266,124,143,896,473,424
349,2020-07-01,송정동_강서구,282,130,152,2666,1430,1237
350,2020-07-01,송정동_해운대구,2300,935,1365,10072,4876,5196
351,2020-07-01,수안동,2266,999,1267,12759,6241,6517
352,2020-07-01,수영동,4175,1814,2361,15140,7245,7895
353,2020-07-01,수정동,7048,2877,4171,24367,11804,12563
354,2020-07-01,식만동,169,79,90,463,246,218
355,2020-07-01,신선동,3180,1288,1892,9310,4666,4644
356,2020-07-01,신창동,84,38,46,268,136,132
357,2020-07-01,신평동,5880,2678,3202,34254,17388,16866
358,2020-07-01,신호동,1410,650,760,13330,7148,6182
359,2020-07-01,아미동,2463,1051,1412,7237,3665,3572
360,2020-07-01,안락동,8255,3711,4544,43297,21213,22084
361,2020-07-01,암남동,3198,1371,1827,13850,6834,7016
362,2020-07-01,양정동,6084,2564,3520,33547,15751,17796
363,2020-07-01,엄궁동,3558,1640,1918,28536,14319,14217
364,2020-07-01,연산동,27846,12356,15490,145176,70021,75155
365,2020-07-01,연지동,4372,1848,2524,20608,9765,10843
366,2020-07-01,영선동,3719,1584,2135,13171,6395,6776
367,2020-07-01,영주동,3229,1370,1859,12259,6064,6195
368,2020-07-01,오륜동,33,14,19,196,93,102
369,2020-07-01,온천동,13798,6131,7667,73728,35707,38021
370,2020-07-01,용당동,1603,713,890,8092,4129,3963
371,2020-07-01,용호동,16233,7148,9085,84515,40920,43595
372,2020-07-01,우동,13545,6016,7529,83083,39495,43588
373,2020-07-01,우암동,3642,1576,2066,13618,6745,6873
374,2020-07-01,일광읍,3044,1331,1713,19107,9575,9532
375,2020-07-01,장림동,6147,2816,3331,39782,20355,19427
376,2020-07-01,장안읍,2268,995,1273,8747,4665,4082
377,2020-07-01,장전동,7214,3025,4189,45757,22579,23178
378,2020-07-01,재송동,9167,4114,5053,64481,31553,32928
379,2020-07-01,전포동,7676,3279,4397,39620,18740,20880
380,2020-07-01,정관읍,8192,3542,4650,82019,40485,41534
381,2020-07-01,좌동,12886,5337,7549,91228,42797,48431
382,2020-07-01,좌천동,3075,1272,1803,11223,5452,5771
383,2020-07-01,주례동,8705,4032,4673,53032,26627,26405
384,2020-07-01,죽동동,169,79,90,463,245,217
385,2020-07-01,죽림동,170,80,90,464,246,218
386,2020-07-01,중동,6560,2848,3712,40540,19431,21109
387,2020-07-01,중앙동,477,235,242,2355,1173,1182
388,2020-07-01,지사동,1044,481,563,9864,5290,4575
389,2020-07-01,창선동,84,38,46,268,135,132
390,2020-07-01,천성동,199,92,107,672,354,317
391,2020-07-01,철마면,2391,1115,1276,8117,4086,4031
392,2020-07-01,청룡동,2432,1121,1311,9330,4579,4752
393,2020-07-01,청학동,6310,2719,3591,25487,12580,12907
394,2020-07-01,초량동,6565,2731,3834,28403,14003,14400
395,2020-07-01,초읍동,5701,2481,3220,22435,10900,11535
396,2020-07-01,초장동,1596,656,940,4735,2359,2376
397,2020-07-01,충무동,594,247,347,2538,1216,1322
398,2020-07-01,칠산동,1199,503,696,4215,2054,2161
399,2020-07-01,토성동,1783,742,1041,7614,3648,3966
400,2020-07-01,하단동,7422,3291,4131,47985,23982,24003
401,2020-07-01,학장동,4967,2232,2735,29508,14759,14749
402,2020-07-01,화명동,10414,4681,5733,89677,44004,45673
403,2020-07-01,화전동,386,178,208,3644,1954,1690
404,2020-07-01,회동동,702,330,371,2581,1362,1219
405,2020-08-01,가야동,7916,3498,4418,37288,18415,18873
406,2020-08-01,감만동,5347,2341,3006,21356,10804,10552
407,2020-08-01,감전동,2962,1335,1627,13935,7392,6543
408,2020-08-01,감천동,6621,2844,3777,26292,13133,13159
409,2020-08-01,강동동,1493,693,800,4555,2419,2136
410,2020-08-01,개금동,10362,4510,5852,58578,28326,30252
411,2020-08-01,거제동,11701,5082,6619,63912,30817,33095
412,2020-08-01,광복동,84,38,46,267,135,132
413,2020-08-01,광안동,13057,5520,7537,67015,31188,35827
414,2020-08-01,괘법동,3423,1642,1781,22014,11387,10627
415,2020-08-01,괴정동,13842,6004,7838,59555,28892,30663
416,2020-08-01,구랑동,18,8,10,177,95,82
417,2020-08-01,구서동,9411,4114,5297,53773,25667,28106
418,2020-08-01,구평동,1570,739,831,11758,5989,5769
419,2020-08-01,구포동,10863,4975,5888,61932,31747,30185
420,2020-08-01,금곡동,8223,3357,4866,39377,19076,20301
421,2020-08-01,금사동,1578,745,833,5734,3026,2709
422,2020-08-01,금성동,268,117,151,1094,534,560
423,2020-08-01,기장읍,10907,4479,6428,53147,25910,27237
424,2020-08-01,낙민동,3623,1596,2028,20156,9854,10302
425,2020-08-01,남부민동,4722,2028,2694,14897,7486,7411
426,2020-08-01,남산동,6272,2731,3541,29961,14667,15294
427,2020-08-01,남천동,5256,2251,3005,26424,12230,14194
428,2020-08-01,남포동,323,151,172,1042,582,460
429,2020-08-01,남항동,1073,446,627,3614,1805,1810
430,2020-08-01,노포동,215,99,116,821,402,418
431,2020-08-01,녹산동,142,65,77,1329,712,616
432,2020-08-01,눌차동,167,77,90,562,297,265
433,2020-08-01,다대동,11773,5134,6639,68780,34232,34548
434,2020-08-01,당감동,9312,3912,5400,46431,22386,24045
435,2020-08-01,당리동,5191,2409,2782,27654,13581,14073
436,2020-08-01,대교동,1072,446,626,3614,1804,1809
437,2020-08-01,대연동,15917,6985,8932,94782,46216,48566
438,2020-08-01,대저1동,2187,1078,1109,6811,3768,3043
439,2020-08-01,대저2동,1656,784,872,7195,4000,3195
440,2020-08-01,대창동,85,39,46,267,135,132
441,2020-08-01,대청동,1633,652,981,6563,3108,3455
442,2020-08-01,대평동,1072,446,626,3613,1804,1809
443,2020-08-01,대항동,134,62,71,450,237,212
444,2020-08-01,덕천동,8422,3527,4895,36460,17974,18486
445,2020-08-01,덕포동,4133,1878,2255,22356,11376,10980
446,2020-08-01,동광동,961,435,526,2940,1467,1473
447,2020-08-01,동대신동,5249,2201,3048,20112,9599,10513
448,2020-08-01,동삼동,10788,4649,6139,43182,21194,21988
449,2020-08-01,동선동,303,141,162,1014,536,479
450,2020-08-01,두구동,599,279,321,1897,1005,893
451,2020-08-01,만덕동,10235,4713,5522,59644,29277,30367
452,2020-08-01,망미동,9156,4038,5118,39681,19196,20485
453,2020-08-01,명륜동,3281,1409,1872,24806,12094,12712
454,2020-08-01,명장동,6227,2849,3378,29883,14584,15299
455,2020-08-01,명지동,5243,2502,2741,75923,37919,38004
456,2020-08-01,모라동,8901,3673,5228,39694,19658,20036
457,2020-08-01,문현동,10455,4408,6047,47606,23313,24293
458,2020-08-01,미음동,37,17,20,354,190,164
459,2020-08-01,민락동,5364,2363,3001,28760,13869,14891
460,2020-08-01,반송동,11199,4548,6651,39075,19232,19844
461,2020-08-01,반여동,13210,5728,7482,74878,36915,37963
462,2020-08-01,범방동,85,39,45,797,427,369
463,2020-08-01,범일동,6390,2729,3661,25643,12716,12927
464,2020-08-01,범전동,1479,656,823,7784,3909,3875
465,2020-08-01,범천동,6713,2866,3847,32635,15791,16844
466,2020-08-01,보수동,2732,1160,1572,10691,5214,5477
467,2020-08-01,복천동,1782,747,1036,6234,3033,3201
