,actual,actual,actual,predicted,predicted
,mean,std,count,mean,std
temp_category,,,,,
매우추움(≤10),,,0,,
추움(10-20),0.73,1.15,7017,0.8,0.78
보통(20-25),0.77,1.32,29517,0.78,0.9
따뜻함(25-30),0.87,1.68,43503,0.85,1.31
더움(>30),0.87,2.13,19323,0.85,1.82
